Gene,Category
aap/aspU,
afaA,adhesin
afaB-I,adhesin
afaC-I,adhesin
afaD,adhesin
afaE-I,adhesin
afaE-V,adhesin
afaF-III,adhesin
afaF-VII,adhesin
agg3A,
agg3B,
agg3C,
agg3D,
aggB,
aggC,
aggD,
aslA,
astA,
cesAB,
cesD,
cesD2,
cesL,
cesT,
chuA,iron_acquisition
chuS,iron_acquisition
chuT,iron_acquisition
chuU,iron_acquisition
chuV,iron_acquisition
chuW,iron_acquisition
chuX,iron_acquisition
chuY,iron_acquisition
cif,
cnf1,toxin
daaF,
draA,adhesin
draB,adhesin
draC,adhesin
draD,adhesin
draE2,adhesin
draP,adhesin
eae,
eltA,
eltB,
entA,
entB,
entC,
entD,
entE,
entF,
entS,
escC,
escD,
escE,
escF,
escG,
escI,
escJ,
escL,
escN,
escO,
escP,
escR,
escS,
escT,
escU,
escV,
espA,
espB,
espD,
espG,
espJ,
espL1,
espL4,
espM2,
espR1,
espR3,
espW,
espX1,
espX2,
espX4,
espX5,
espY1,
espY2,
espY3,
espY4,
etgA,
etpB,
faeD,
faeE,
faeF,
faeJ,
fdeC,
fepA,
fepB,
fepC,
fepD,
fepG,
fes,
fimA,adhesin
fimB,adhesin
fimC,adhesin
fimD,adhesin
fimE,adhesin
fimF,adhesin
fimG,adhesin
fimH,adhesin
fimI,adhesin
focA,adhesin
focC,adhesin
focD,adhesin
focG,adhesin
fyuA,
gspC,
gspD,
gspE,
gspF,
gspG,
gspH,
gspI,
gspJ,
gspK,
gspL,
gspM,
gtrA,
hlyA,toxin
hlyB,
hlyC,
hlyD,
iroB,
iroC,
iroD,
iroE,
iroN,iron_acquisition
irp1,iron_acquisition
irp2,iron_acquisition
iucA,iron_acquisition
iucB,iron_acquisition
iucC,iron_acquisition
iucD,iron_acquisition
iutA,
kpsD,protectin
kpsM,protectin
kpsT,protectin
map,
nleA,
nleA/espI,
nleB2,
nleG7',
nleH1,
ompA,protectin
papB,adhesin
papC,adhesin
papD,adhesin
papE,adhesin
papF,adhesin
papG,adhesin
papH,adhesin
papI,adhesin
papJ,adhesin
papK,adhesin
papX,adhesin
pet,
pic,toxin
sat,toxin
senB,
sepD,
sepL,
sepQ/escQ,
sepZ/espZ,
sfaB,adhesin
sfaC,adhesin
sfaD,adhesin
sfaG,adhesin
sfaY,adhesin
shuA,
shuS,
shuT,
shuX,
sigA,
tcpC,
tir,
vat,toxin
yagV/ecpE,
yagW/ecpD,
yagX/ecpC,
yagY/ecpB,
yagZ/ecpA,
ybtA,
ybtE,
ybtP,
ybtQ,
ybtS,
ybtT,
ybtU,
ybtX,
ykgK/ecpR,
